CODMUNRES,ANO,ABORTOS_SUS_MENOR_30,ABORTOS_SUS_30_A_39,ABORTOS_SUS_40_OU_MAIS
120039,2016,129,34,6
120039,2017,197,61,2
120039,2018,153,34,6
120039,2019,118,33,1
120039,2020,120,25,4
120040,2012,6098,1812,183
120040,2013,6001,1944,183
120040,2014,5548,1924,195
120040,2015,5678,1913,229
120040,2016,5628,2023,229
120040,2017,5877,2226,265
120040,2018,5334,2102,236
120040,2019,5146,2030,269
120040,2020,4608,1847,260
120042,2012,248,64,5
120042,2013,233,65,8
120042,2014,304,71,9
120042,2015,242,82,7
120042,2016,201,64,9
120042,2017,236,62,8
120042,2018,239,67,10
120042,2019,250,70,6
120042,2020,225,73,9
120043,2012,56,16,3
120043,2013,33,10,2
120043,2014,23,10,1
120043,2015,23,10,3
120043,2016,38,14,3
120043,2017,16,6,0
120043,2018,25,11,2
120043,2019,34,17,5
120043,2020,31,13,1
120045,2012,164,47,7
120045,2013,141,39,8
120045,2014,142,36,7
120045,2015,130,41,5
120045,2016,152,34,8
120045,2017,146,48,6
120045,2018,181,49,8
120045,2019,166,54,5
120045,2020,222,85,6
120050,2012,643,163,17
120050,2013,699,162,17
120050,2014,662,179,10
120050,2015,668,188,24
120050,2016,585,162,14
120050,2017,653,144,19
120050,2018,613,164,22
120050,2019,553,143,16
120050,2020,543,132,25
120060,2012,802,209,29
120060,2013,896,166,34
120060,2014,943,217,36
120060,2015,856,189,44
120060,2016,443,95,15
120060,2017,854,202,32
120060,2018,886,191,26
120060,2019,839,189,24
120060,2020,783,222,30
120070,2012,222,58,3
120070,2013,213,53,9
120070,2014,239,52,7
120070,2015,200,55,3
120070,2016,191,64,3
120070,2017,231,69,14
120070,2018,217,56,11
120070,2019,199,51,12
120070,2020,224,80,9
120080,2012,136,32,5
120080,2013,143,30,3
120080,2014,83,27,1
120080,2015,87,25,0
120080,2016,126,40,4
120080,2017,193,43,9
120080,2018,169,43,9
120080,2019,182,30,6
120080,2020,170,55,6
130002,2012,0,0,0
130002,2013,0,0,0
130002,2014,0,0,0
130002,2015,0,0,0
130002,2016,0,0,0
130002,2017,0,0,0
130002,2018,1,0,0
130002,2019,0,0,0
130002,2020,0,0,0
130020,2012,0,0,0
130020,2013,0,0,0
130020,2014,2,0,0
130020,2015,2,0,0
130020,2016,1,0,0
130020,2017,1,1,0
130020,2018,1,1,0
130020,2019,1,1,0
130020,2020,0,1,0
130040,2012,0,0,0
130040,2013,0,0,0
130040,2014,0,0,0
130040,2015,2,0,0
130040,2016,0,0,0
130040,2017,0,0,0
130040,2018,3,0,0
130040,2019,0,0,0
130040,2020,5,0,0
130070,2012,148,28,3
130070,2013,136,33,1
130070,2014,132,18,3
130070,2015,122,29,5
130070,2016,106,21,6
130070,2017,142,19,12
130070,2018,134,40,3
130070,2019,148,39,3
130070,2020,145,27,1
130100,2012,1,0,0
130100,2013,0,1,0
130100,2014,0,0,0
130100,2015,0,0,0
130100,2016,1,0,0
130100,2017,0,1,0
130100,2018,0,0,0
130100,2019,0,1,0
130100,2020,0,0,0
130110,2012,1,0,0
130110,2013,0,0,0
130110,2014,0,0,0
130110,2015,0,0,0
130110,2016,0,0,0
130110,2017,1,0,0
130110,2018,0,0,0
130110,2019,0,0,0
130110,2020,0,0,0
130130,2012,0,0,0
130130,2013,0,0,0
130130,2014,0,0,0
130130,2015,0,0,0
130130,2016,0,0,0
130130,2017,0,0,1
130130,2018,0,0,0
130130,2019,0,0,0
130130,2020,0,0,0
130140,2012,0,0,0
130140,2013,1,1,0
130140,2014,2,0,0
130140,2015,4,1,0
130140,2016,1,0,0
130140,2017,2,0,0
130140,2018,0,0,0
130140,2019,1,0,0
130140,2020,1,0,0
130150,2012,2,1,0
130150,2013,2,0,0
130150,2014,0,2,0
130150,2015,4,1,0
130150,2016,1,2,0
130150,2017,1,0,0
130150,2018,0,1,0
130150,2019,5,1,0
130150,2020,14,3,1
130160,2012,0,0,0
130160,2013,0,0,0
130160,2014,0,0,0
130160,2015,0,0,0
130160,2016,0,0,0
130160,2017,1,0,0
130160,2018,0,0,0
130160,2019,0,0,0
130160,2020,0,0,0
130165,2012,214,43,8
130165,2013,172,43,6
130165,2014,244,54,4
130165,2015,185,51,5
130165,2016,172,55,5
130165,2017,191,46,10
130165,2018,161,40,3
130165,2019,164,52,5
130165,2020,180,47,4
130170,2012,1,0,0
130170,2013,2,0,0
130170,2014,0,0,0
130170,2015,4,0,1
130170,2016,1,0,0
130170,2017,4,1,1
130170,2018,3,1,0
130170,2019,1,1,0
130170,2020,6,0,0
130180,2012,28,6,0
130180,2013,24,9,0
130180,2014,22,9,2
130180,2015,25,4,2
130180,2016,6,3,1
130180,2017,15,5,0
130180,2018,21,5,0
130180,2019,35,4,1
130180,2020,25,10,0
130240,2012,0,0,0
130240,2013,0,0,0
130240,2014,1,0,0
130240,2015,0,0,0
130240,2016,0,0,0
130240,2017,0,0,0
130240,2018,0,0,0
130240,2019,1,0,0
130240,2020,5,0,0
130250,2012,0,0,0
130250,2013,0,0,0
130250,2014,3,0,0
130250,2015,1,0,0
130250,2016,0,0,0
130250,2017,0,0,0
130250,2018,1,0,0
130250,2019,0,1,0
130250,2020,0,0,0
130260,2012,1,0,0
130260,2013,1,0,0
