nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Bom Jesus do Galho,162,0.06,3897.0,7,6.870370370370371,17.175925925925927,2.856043110084681,7.1401077752117015
Bom Repouso,139,0.05,2954.0,9,10.197841726618705,25.494604316546766,4.798578199052133,11.996445497630333
Bom Sucesso,146,0.09,4830.0,6,6.719178082191782,16.797945205479454,2.031055900621118,5.077639751552796
Bonfim,39,0.05,1685.0,2,8.076923076923077,20.192307692307693,1.8694362017804156,4.673590504451038
Bonfinópolis de Minas,60,0.02,1463.0,,,,,
Bonito de Minas,115,0.0,3218.0,1,1.3043478260869565,3.260869565217391,0.4661280298321939,1.1653200745804848
Borda da Mata,147,0.12,5320.0,8,9.142857142857144,22.857142857142858,2.526315789473684,6.315789473684211
Botelhos,136,0.2,4083.0,5,6.61764705882353,16.544117647058822,2.204261572373255,5.510653930933138
Botumirim,62,0.01,1764.0,5,12.21774193548387,30.544354838709676,4.29421768707483,10.735544217687075
Brasilândia de Minas,236,0.23,5084.0,1,0.7817796610169492,1.9544491525423728,0.36290322580645157,0.907258064516129
Brasília de Minas,500,0.03,9590.0,24,7.415999999999999,18.54,3.8665276329509903,9.666319082377475
Brás Pires,31,0.13,1093.0,2,10.93548387096774,27.338709677419352,3.101555352241537,7.753888380603843
Braúnas,54,0.1,1341.0,2,6.111111111111112,15.277777777777779,2.4608501118568236,6.152125279642059
Brasópolis,152,0.23,3830.0,3,3.641447368421052,9.103618421052632,1.4451697127937337,3.612924281984334
Brumadinho,438,0.34,11830.0,39,17.897260273972606,44.74315068493151,6.626373626373626,16.56593406593407
Bueno Brandão,88,0.04,2795.0,4,7.090909090909091,17.727272727272727,2.2325581395348837,5.5813953488372094
Buenópolis,106,0.03,2987.0,7,10.202830188679245,25.507075471698116,3.6206896551724137,9.051724137931036
Bugre,27,0.08,1073.0,,,,,
Buritis,376,0.05,7489.0,32,13.40425531914894,33.51063829787234,6.72987047669916,16.824676191747894
Buritizeiro,314,0.05,8672.0,13,6.520700636942675,16.301751592356688,2.3610470479704797,5.9026176199261995
Cabeceira Grande,66,0.01,1967.0,5,11.477272727272728,28.693181818181817,3.851042196237926,9.627605490594814
Cabo Verde,130,0.07,3618.0,1,1.2346153846153844,3.0865384615384617,0.44361525704809285,1.1090381426202323
Cachoeira da Prata,28,0.17,1031.0,1,6.267857142857143,15.669642857142854,1.702230843840931,4.255577109602327
Cachoeira de Minas,132,0.24,2952.0,6,8.454545454545455,21.136363636363637,3.7804878048780486,9.451219512195122
Cachoeira Dourada,11,0.07,822.0,,,,,
Caetanópolis,124,0.21,3186.0,6,8.78225806451613,21.95564516129032,3.418079096045198,8.545197740112995
Caeté,457,0.25,13069.0,26,10.667396061269146,26.66849015317287,3.7302012395745656,9.325503098936416
Caiana,61,0.01,1607.0,1,2.4836065573770494,6.209016393442623,0.942750466708152,2.3568761667703795
Cajuri,59,0.08,1010.0,4,10.983050847457628,27.457627118644073,6.415841584158416,16.039603960396043
